"Plot Title: Haiku_Baro-1-28-2026"
"#","Date Time, GMT-10:00","Abs Pres, psi (LGR S/N: 10732841, SEN S/N: 10732841)","Temp, °F (LGR S/N: 10732841, SEN S/N: 10732841)"
1,01/28/26 02:00:00 PM,14.4347,84.654
2,01/28/26 02:15:00 PM,14.4466,84.115
3,01/28/26 02:30:00 PM,14.4616,83.579
4,01/28/26 02:45:00 PM,14.4603,83.221
5,01/28/26 03:00:00 PM,14.4894,82.330
6,01/28/26 03:15:00 PM,14.4838,81.621
7,01/28/26 03:30:00 PM,14.2888,81.266
8,01/28/26 03:45:00 PM,14.2888,81.266
9,01/28/26 04:00:00 PM,14.2897,81.090
10,01/28/26 04:15:00 PM,14.2897,81.090
11,01/28/26 04:30:00 PM,14.2936,80.911
12,01/28/26 04:45:00 PM,14.2952,80.911
13,01/28/26 05:00:00 PM,14.2961,80.735
14,01/28/26 05:15:00 PM,14.2955,80.559
15,01/28/26 05:30:00 PM,14.2980,80.382
16,01/28/26 05:45:00 PM,14.2972,80.206
17,01/28/26 06:00:00 PM,14.2958,80.206
18,01/28/26 06:15:00 PM,14.3013,80.029
19,01/28/26 06:30:00 PM,14.3036,79.853
20,01/28/26 06:45:00 PM,14.3030,79.678
21,01/28/26 07:00:00 PM,14.3055,79.502
22,01/28/26 07:15:00 PM,14.3080,79.326
23,01/28/26 07:30:00 PM,14.3088,79.151
24,01/28/26 07:45:00 PM,14.3097,78.975
25,01/28/26 08:00:00 PM,14.3086,78.624
26,01/28/26 08:15:00 PM,14.3113,78.098
27,01/28/26 08:30:00 PM,14.3130,77.749
28,01/28/26 08:45:00 PM,14.3142,77.225
29,01/28/26 09:00:00 PM,14.3130,76.876
30,01/28/26 09:15:00 PM,14.3112,76.354
31,01/28/26 09:30:00 PM,14.3130,76.006
32,01/28/26 09:45:00 PM,14.3148,75.659
33,01/28/26 10:00:00 PM,14.3130,75.139
34,01/28/26 10:15:00 PM,14.3117,74.791
35,01/28/26 10:30:00 PM,14.3096,74.619
36,01/28/26 10:45:00 PM,14.3059,74.446
37,01/28/26 11:00:00 PM,14.3032,74.098
38,01/28/26 11:15:00 PM,14.2980,73.926
39,01/28/26 11:30:00 PM,14.2952,73.580
40,01/28/26 11:45:00 PM,14.2930,73.407
41,01/29/26 12:00:00 AM,14.2955,73.234
42,01/29/26 12:15:00 AM,14.2980,73.062
43,01/29/26 12:30:00 AM,14.2968,72.718
44,01/29/26 12:45:00 AM,14.2993,72.545
45,01/29/26 01:00:00 AM,14.2985,72.372
46,01/29/26 01:15:00 AM,14.2980,72.199
47,01/29/26 01:30:00 AM,14.2974,72.028
48,01/29/26 01:45:00 AM,14.2983,71.856
49,01/29/26 02:00:00 AM,14.2983,71.856
50,01/29/26 02:15:00 AM,14.2946,71.683
51,01/29/26 02:30:00 AM,14.2900,71.683
52,01/29/26 02:45:00 AM,14.2916,71.683
53,01/29/26 03:00:00 AM,14.2907,71.856
54,01/29/26 03:15:00 AM,14.2907,71.856
55,01/29/26 03:30:00 AM,14.2907,71.856
56,01/29/26 03:45:00 AM,14.2875,71.856
57,01/29/26 04:00:00 AM,14.2897,72.028
58,01/29/26 04:15:00 AM,14.2882,72.028
59,01/29/26 04:30:00 AM,14.2913,72.028
60,01/29/26 04:45:00 AM,14.2897,72.028
61,01/29/26 05:00:00 AM,14.2882,72.028
62,01/29/26 05:15:00 AM,14.2913,72.028
63,01/29/26 05:30:00 AM,14.2913,72.028
64,01/29/26 05:45:00 AM,14.2943,72.028
65,01/29/26 06:00:00 AM,14.2927,72.028
66,01/29/26 06:15:00 AM,14.2943,72.028
67,01/29/26 06:30:00 AM,14.2958,72.028
68,01/29/26 06:45:00 AM,14.2958,72.028
69,01/29/26 07:00:00 AM,14.2990,72.028
70,01/29/26 07:15:00 AM,14.3035,72.028
71,01/29/26 07:30:00 AM,14.3045,71.856
72,01/29/26 07:45:00 AM,14.3122,71.856
73,01/29/26 08:00:00 AM,14.3136,71.856
74,01/29/26 08:15:00 AM,14.3174,72.028
75,01/29/26 08:30:00 AM,14.3174,72.028
76,01/29/26 08:45:00 AM,14.3194,72.199
77,01/29/26 09:00:00 AM,14.3186,72.372
78,01/29/26 09:15:00 AM,14.3216,72.372
79,01/29/26 09:30:00 AM,14.3222,72.545
80,01/29/26 09:45:00 AM,14.3235,72.891
81,01/29/26 10:00:00 AM,14.3225,73.062
82,01/29/26 10:15:00 AM,14.3216,73.234
83,01/29/26 10:30:00 AM,14.3197,73.580
84,01/29/26 10:45:00 AM,14.3203,73.753
85,01/29/26 11:00:00 AM,14.3186,74.098
86,01/29/26 11:15:00 AM,14.3197,74.446
87,01/29/26 11:30:00 AM,14.3158,74.619
88,01/29/26 11:45:00 AM,14.3154,74.964
89,01/29/26 12:00:00 PM,14.3130,75.139
90,01/29/26 12:15:00 PM,14.3090,75.312
91,01/29/26 12:30:00 PM,14.3087,75.659
92,01/29/26 12:45:00 PM,14.3032,75.832
93,01/29/26 01:00:00 PM,14.3007,76.006
94,01/29/26 01:15:00 PM,14.2967,76.181
95,01/29/26 01:30:00 PM,14.2922,76.181
96,01/29/26 01:45:00 PM,14.2881,76.354
97,01/29/26 02:00:00 PM,14.2856,76.528
98,01/29/26 02:15:00 PM,14.2864,76.703
99,01/29/26 02:30:00 PM,14.2848,76.703
100,01/29/26 02:45:00 PM,14.2878,76.703
101,01/29/26 03:00:00 PM,14.2869,76.876
102,01/29/26 03:15:00 PM,14.2884,76.876
103,01/29/26 03:30:00 PM,14.2891,77.050
104,01/29/26 03:45:00 PM,14.2922,77.050
105,01/29/26 04:00:00 PM,14.2952,77.050
106,01/29/26 04:15:00 PM,14.2968,77.050
107,01/29/26 04:30:00 PM,14.2983,77.050
108,01/29/26 04:45:00 PM,14.3020,77.225
109,01/29/26 05:00:00 PM,14.3020,77.225
110,01/29/26 05:15:00 PM,14.3035,77.225
111,01/29/26 05:30:00 PM,14.3081,77.225
112,01/29/26 05:45:00 PM,14.3122,77.050
113,01/29/26 06:00:00 PM,14.3152,77.050
114,01/29/26 06:15:00 PM,14.3183,77.050
115,01/29/26 06:30:00 PM,14.3197,77.050
116,01/29/26 06:45:00 PM,14.3167,77.050
117,01/29/26 07:00:00 PM,14.3177,76.876
118,01/29/26 07:15:00 PM,14.3191,76.876
119,01/29/26 07:30:00 PM,14.3177,76.876
120,01/29/26 07:45:00 PM,14.3207,76.876
121,01/29/26 08:00:00 PM,14.3200,76.703
122,01/29/26 08:15:00 PM,14.3216,76.703
123,01/29/26 08:30:00 PM,14.3277,76.703
124,01/29/26 08:45:00 PM,14.3257,76.528
125,01/29/26 09:00:00 PM,14.3296,76.354
126,01/29/26 09:15:00 PM,14.3312,76.354
127,01/29/26 09:30:00 PM,14.3305,76.181
128,01/29/26 09:45:00 PM,14.3351,76.181
129,01/29/26 10:00:00 PM,14.3315,76.006
130,01/29/26 10:15:00 PM,14.3329,76.006
131,01/29/26 10:30:00 PM,14.3307,75.832
132,01/29/26 10:45:00 PM,14.3339,75.832
133,01/29/26 11:00:00 PM,14.3318,75.659
134,01/29/26 11:15:00 PM,14.3310,75.484
135,01/29/26 11:30:00 PM,14.3265,75.484
136,01/29/26 11:45:00 PM,14.3258,75.312
137,01/30/26 12:00:00 AM,14.3252,75.139
138,01/30/26 12:15:00 AM,14.3216,74.964
139,01/30/26 12:30:00 AM,14.3178,74.791
140,01/30/26 12:45:00 AM,14.3219,74.619
141,01/30/26 01:00:00 AM,14.3167,74.446
142,01/30/26 01:15:00 AM,14.3130,74.271
143,01/30/26 01:30:00 AM,14.3123,74.098
144,01/30/26 01:45:00 AM,14.3148,73.926
145,01/30/26 02:00:00 AM,14.3189,73.753
146,01/30/26 02:15:00 AM,14.3120,73.580
147,01/30/26 02:30:00 AM,14.3115,73.407
148,01/30/26 02:45:00 AM,14.3109,73.234
149,01/30/26 03:00:00 AM,14.3071,73.062
150,01/30/26 03:15:00 AM,14.3051,72.891
151,01/30/26 03:30:00 AM,14.3029,72.718
152,01/30/26 03:45:00 AM,14.2983,72.718
153,01/30/26 04:00:00 AM,14.3038,72.545
154,01/30/26 04:15:00 AM,14.3048,72.372
155,01/30/26 04:30:00 AM,14.3078,72.372
156,01/30/26 04:45:00 AM,14.3087,72.199
157,01/30/26 05:00:00 AM,14.3097,72.028
158,01/30/26 05:15:00 AM,14.3097,72.028
159,01/30/26 05:30:00 AM,14.3029,71.856
160,01/30/26 05:45:00 AM,14.3075,71.856
161,01/30/26 06:00:00 AM,14.3070,71.683
162,01/30/26 06:15:00 AM,14.3130,71.683
163,01/30/26 06:30:00 AM,14.3146,71.683
164,01/30/26 06:45:00 AM,14.3155,71.512
165,01/30/26 07:00:00 AM,14.3155,71.512
166,01/30/26 07:15:00 AM,14.3180,71.339
167,01/30/26 07:30:00 AM,14.3210,71.339
168,01/30/26 07:45:00 AM,14.3265,71.168
169,01/30/26 08:00:00 AM,14.3281,71.168
170,01/30/26 08:15:00 AM,14.3306,70.995
171,01/30/26 08:30:00 AM,14.3320,70.995
172,01/30/26 08:45:00 AM,14.3397,70.995
173,01/30/26 09:00:00 AM,14.3397,70.995
174,01/30/26 09:15:00 AM,14.3397,70.995
175,01/30/26 09:30:00 AM,14.3403,71.168
176,01/30/26 09:45:00 AM,14.3419,71.168
177,01/30/26 10:00:00 AM,14.3455,71.339
178,01/30/26 10:15:00 AM,14.3468,71.683
179,01/30/26 10:30:00 AM,14.3474,71.856
180,01/30/26 10:45:00 AM,14.3441,72.199
181,01/30/26 11:00:00 AM,14.3392,72.545
182,01/30/26 11:15:00 AM,14.3342,72.891
183,01/30/26 11:30:00 AM,14.3323,73.234
184,01/30/26 11:45:00 AM,14.3326,73.753
185,01/30/26 12:00:00 PM,14.3307,74.098
186,01/30/26 12:15:00 PM,14.3274,74.446
187,01/30/26 12:30:00 PM,14.3241,74.791
188,01/30/26 12:45:00 PM,14.3206,75.139
189,01/30/26 01:00:00 PM,14.3173,75.484
190,01/30/26 01:15:00 PM,14.3947,75.659
191,01/30/26 01:30:00 PM,14.3906,76.703
192,01/30/26 01:45:00 PM,14.3136,77.050
193,01/30/26 02:00:00 PM,14.3072,77.400
194,01/30/26 02:15:00 PM,14.3065,77.225
195,01/30/26 02:30:00 PM,14.2996,77.400
196,01/30/26 02:45:00 PM,14.3001,76.703
197,01/30/26 03:00:00 PM,14.2988,76.354
198,01/30/26 03:15:00 PM,14.3004,76.354
199,01/30/26 03:30:00 PM,14.3051,76.354
200,01/30/26 03:45:00 PM,14.3054,76.006
201,01/30/26 04:00:00 PM,14.3057,75.659
202,01/30/26 04:15:00 PM,14.3081,75.484
203,01/30/26 04:30:00 PM,14.3093,75.832
204,01/30/26 04:45:00 PM,14.3099,76.006
205,01/30/26 05:00:00 PM,14.3117,75.659
206,01/30/26 05:15:00 PM,14.3136,75.312
207,01/30/26 05:30:00 PM,14.3170,74.964
208,01/30/26 05:45:00 PM,14.3173,74.619
209,01/30/26 06:00:00 PM,14.3191,74.271
210,01/30/26 06:15:00 PM,14.3178,73.926
211,01/30/26 06:30:00 PM,14.3213,73.580
212,01/30/26 06:45:00 PM,14.3238,73.407
213,01/30/26 07:00:00 PM,14.3255,73.062
214,01/30/26 07:15:00 PM,14.3265,72.891
215,01/30/26 07:30:00 PM,14.3274,72.718
216,01/30/26 07:45:00 PM,14.3277,72.372
217,01/30/26 08:00:00 PM,14.3332,72.199
218,01/30/26 08:15:00 PM,14.3326,72.028
219,01/30/26 08:30:00 PM,14.3345,71.683
220,01/30/26 08:45:00 PM,14.3354,71.512
221,01/30/26 09:00:00 PM,14.3348,71.339
222,01/30/26 09:15:00 PM,14.3342,71.168
223,01/30/26 09:30:00 PM,14.3326,71.168
224,01/30/26 09:45:00 PM,14.3336,70.995
225,01/30/26 10:00:00 PM,14.3331,70.824
226,01/30/26 10:15:00 PM,14.3339,70.651
227,01/30/26 10:30:00 PM,14.3318,70.480
228,01/30/26 10:45:00 PM,14.3312,70.308
229,01/30/26 11:00:00 PM,14.3281,70.308
230,01/30/26 11:15:00 PM,14.3290,70.137
231,01/30/26 11:30:00 PM,14.3290,70.137
232,01/30/26 11:45:00 PM,14.3270,69.964
233,01/31/26 12:00:00 AM,14.3270,69.964
234,01/31/26 12:15:00 AM,14.3284,69.964
235,01/31/26 12:30:00 AM,14.3278,69.793
236,01/31/26 12:45:00 AM,14.3294,69.793
237,01/31/26 01:00:00 AM,14.3232,69.793
238,01/31/26 01:15:00 AM,14.3242,69.622
239,01/31/26 01:30:00 AM,14.3226,69.622
240,01/31/26 01:45:00 AM,14.3226,69.622
241,01/31/26 02:00:00 AM,14.3212,69.622
242,01/31/26 02:15:00 AM,14.3181,69.622
243,01/31/26 02:30:00 AM,14.3149,69.622
244,01/31/26 02:45:00 AM,14.3149,69.622
245,01/31/26 03:00:00 AM,14.3159,69.449
246,01/31/26 03:15:00 AM,14.3174,69.449
247,01/31/26 03:30:00 AM,14.3174,69.449
248,01/31/26 03:45:00 AM,14.3154,69.278
249,01/31/26 04:00:00 AM,14.3154,69.278
250,01/31/26 04:15:00 AM,14.3116,69.107
251,01/31/26 04:30:00 AM,14.3126,68.934
252,01/31/26 04:45:00 AM,14.3110,68.934
253,01/31/26 05:00:00 AM,14.3104,68.763
254,01/31/26 05:15:00 AM,14.3099,68.592
255,01/31/26 05:30:00 AM,14.3123,68.421
256,01/31/26 05:45:00 AM,14.3117,68.248
